Reference;Name;Category;Short description;Size;Color;Structure;Price/UAH;Price/RUB;Price/USD;URL;Images;
PL-1552C;Платье "Dolores" PL-1552C;Платья;Рост модели - 170 смДлина по спинке - 83 смДлина рукава до волана - 26 смДлина рукава с воланом (по короткой стороне) - 47 см;42,48;горчичный;костюмная ткань;249;663;11.83;https://niko-opt.com/platya/1753-plate-dolores-pl-1552c.html;http://niko-opt.com/6117-large_default/plate-dolores-pl-1552c.jpg,http://niko-opt.com/6118-large_default/plate-dolores-pl-1552c.jpg;
PL-1539A;Платье "Dorothea" PL-1539A;Платья;Рост модели - 170 смДлина по спинке - 86 смДлина рукава - 64 см;42,44,46,48;шоколад;экозамша;282;741;13.26;https://niko-opt.com/platya/1722-plate-dorothea-pl-1539a.html;http://niko-opt.com/5976-large_default/plate-dorothea-pl-1539a.jpg,http://niko-opt.com/5977-large_default/plate-dorothea-pl-1539a.jpg,http://niko-opt.com/5978-large_default/plate-dorothea-pl-1539a.jpg;
PL-1539B;Платье "Dorothea" PL-1539B;Платья;Рост модели - 170 смДлина по спинке - 86 смДлина рукава - 64 см;42,44,46,48;светло-коричневый;экозамша;282;741;13.26;https://niko-opt.com/platya/1723-plate-dorothea-pl-1539b.html;http://niko-opt.com/5979-large_default/plate-dorothea-pl-1539b.jpg,http://niko-opt.com/5980-large_default/plate-dorothea-pl-1539b.jpg,http://niko-opt.com/5981-large_default/plate-dorothea-pl-1539b.jpg;
PL-1539D;Платье "Dorothea" PL-1539D;Платья;Рост модели - 170 смДлина по спинке - 86 смДлина рукава - 64 см;42,44,46,48;бордовый;экозамша;282;741;13.26;https://niko-opt.com/platya/1725-plate-dorothea-pl-1539d.html;http://niko-opt.com/5985-large_default/plate-dorothea-pl-1539d.jpg,http://niko-opt.com/5986-large_default/plate-dorothea-pl-1539d.jpg,http://niko-opt.com/5987-large_default/plate-dorothea-pl-1539d.jpg;
PL-1539E;Платье "Dorothea" PL-1539E;Платья;Рост модели - 170 смДлина по спинке - 86 смДлина рукава - 64 см;42,44,46,48;красный;экозамша;282;741;13.26;https://niko-opt.com/platya/1726-plate-dorothea-pl-1539e.html;http://niko-opt.com/5990-large_default/plate-dorothea-pl-1539e.jpg,http://niko-opt.com/5989-large_default/plate-dorothea-pl-1539e.jpg,http://niko-opt.com/5988-large_default/plate-dorothea-pl-1539e.jpg;
PL-1396A;Платье "Elegant" PL-1396A;Платья;Какая же девушка не хочет выглядеть стильно и модно каждый день? На работе или в ресторане, просто на прогулке с друзьями. Мы предлагаем вам теплое платье "Elegant" цвета графит, которое можно носить каждый день, выглядеть красиво и не мерзнуть. На груди модель с запахом, юбка расклешенная, на ней два больших накладных кармана, в которые можно положить какую-нибудь мелочь. Пояс и манжет из экокожи, что отлично сочетается как с основной тканью платья, так и ее цветом. Материал не садится, не растягивается и не кашлатится.Длина изделия:по спинке: 94 см, перед (от плеча): 84 см, рукава: 65 см;42,44;графит;;340;880;15.78;https://niko-opt.com/platya/1173-plate-elegant-pl-1396a.html;http://niko-opt.com/4678-large_default/plate-elegant-pl-1396a.jpg,http://niko-opt.com/4679-large_default/plate-elegant-pl-1396a.jpg;
PL-1396B;Платье "Elegant" PL-1396B;Платья;Черный цвет всегда актуален, и в гардеробе каждой девушки найдется хотя бы одно такое платье. Мы предлагаем стильное и теплое платье "Elegant" в черном цвете, и в таком платье вы не замерзнете ни холодной осенью, ни зимой. Манжеты и пояс выполнены из экокожи, сама модель платья — из ангоры с начесом. Черный цвет всегда практичен и удобен в носке, ведь он способен скрыть недостатки фигуры, если такие есть. Спереди два больших накладных кармана, которые не только украшают платье, но и позволяют спрятать женские мелочи.Длина изделия:по спинке: 94 см, перед (от плеча): 84 см, рукава: 65 см;42,44,46,48;черный;ангора с начесом;340;880;15.78;https://niko-opt.com/platya/1174-plate-elegant-pl-1396b.html;http://niko-opt.com/4680-large_default/plate-elegant-pl-1396b.jpg,http://niko-opt.com/4681-large_default/plate-elegant-pl-1396b.jpg;
PL-1396C;Платье "Elegant" PL-1396C;Платья;В этом сезоне цвет марсала актуален, как никогда. Мы создали платье "Elegant" в этом цвете, способное подчеркнуть вашу талию, и скрыть мелкие недостатки, если таковые существуют. На груди платье с запахом, юбка свободная, на полке 2 больших кармана для мелочей, которые, к тому же, украшают модель. Пояс и манжеты выполнены из экокожи, само же платье из ангоры с начесом. Ухаживать за платьем просто — машинная стирка и обычная сушка.Длина изделия:по спинке: 94 см, перед (от плеча): 84 см, рукава: 65 см;42,44,46,48;марсала;ангора с начесом;340;880;15.78;https://niko-opt.com/platya/1175-plate-elegant-pl-1396c.html;http://niko-opt.com/4682-large_default/plate-elegant-pl-1396c.jpg,http://niko-opt.com/4683-large_default/plate-elegant-pl-1396c.jpg;
PL-1396D;Платье "Elegant" PL-1396D;Платья;Красивое платье с запахом "Elegant" модного в этом сезоне цвета электрик способно очаровать самых придирчивых модниц. Модель выполнена из ангоры с начесом, благодаря чему вы не будете мерзнуть в холодные зимние дни, в таком платье вам будет всегда тепло и уютно. Манжеты и пояс выполнены из экокожи, что дополняет образ платья. На полке два больших кармана, которые выполняют функцию декора, но в них также можно положить незначительные женские мелочи.Длина изделия:по спинке: 94 см, перед (от плеча): 84 см, рукава: 65 см;42,44,46;электрик;ангора с начесом;340;880;15.78;https://niko-opt.com/platya/1176-plate-elegant-pl-1396d.html;http://niko-opt.com/4684-large_default/plate-elegant-pl-1396d.jpg,http://niko-opt.com/4685-large_default/plate-elegant-pl-1396d.jpg;
PL-1449A;Платье "Evangeline" PL-1449A;Платья;Длина платья по боку: 66 см;42,44,46,48;марсала;велюр;222;599;10.65;https://niko-opt.com/platya/1423-plate-evangeline-pl-1449a.html;http://niko-opt.com/5273-large_default/plate-evangeline-pl-1449a.jpg,http://niko-opt.com/5274-large_default/plate-evangeline-pl-1449a.jpg;
PL-1449B;Платье "Evangeline" PL-1449B;Платья;Длина платья по боку: 66 см;42,44,46,48;малахит;велюр;222;599;10.65;https://niko-opt.com/platya/1424-plate-evangeline-pl-1449b.html;http://niko-opt.com/5275-large_default/plate-evangeline-pl-1449b.jpg,http://niko-opt.com/5276-large_default/plate-evangeline-pl-1449b.jpg;
PL-1449C;Платье "Evangeline" PL-1449C;Платья;Длина платья по боку: 66 см;42,44,46,48;темно-синий;велюр;222;599;10.65;https://niko-opt.com/platya/1425-plate-evangeline-pl-1449c.html;http://niko-opt.com/5277-large_default/plate-evangeline-pl-1449c.jpg,http://niko-opt.com/5278-large_default/plate-evangeline-pl-1449c.jpg;
PL-1431A;Платье "Fashion" PL-1431A;Платья;Стильное платье "Fashion" отлично подойдет как для праздничного мероприятия, так и для повседневной носки. Модель выполнена из ткани "армани" темно-синего цвета, это достаточно плотный материал, который хорошо подходит для холодной погоды. Полка украшена вставкой из сетки над грудью, а также по низу платья. Уход за платьем прост, достаточно машинной стирки, обычной сушки и глажки, это не деликатная ткань, поэтому она не даст усадки, а еще на ней не образуется катышек. Побаловать себя классной обновкой можно легко, осталось купить платье "Fashion".Длина по спинке - 91 см Длина рукава - 61 см;42,44,46;темно-синий;армани;347;896;16.09;https://niko-opt.com/platya/1273-plate-fashion-pl-1431a.html;http://niko-opt.com/4896-large_default/plate-fashion-pl-1431a.jpg,http://niko-opt.com/4897-large_default/plate-fashion-pl-1431a.jpg,http://niko-opt.com/4898-large_default/plate-fashion-pl-1431a.jpg;
PL-1480A;Платье "Flamingo" PL-1480A;Платья;Длина по спинке - 91 см;42,44,46;синий;штапель;260;689;12.3;https://niko-opt.com/platya/1527-plate-flamingo-pl-1480a.html;http://niko-opt.com/5510-large_default/plate-flamingo-pl-1480a.jpg,http://niko-opt.com/5511-large_default/plate-flamingo-pl-1480a.jpg;
PL-1480B;Платье "Flamingo" PL-1480B;Платья;Длина по спинке - 91 см;48;белый;штапель;260;689;12.3;https://niko-opt.com/platya/1529-plate-flamingo-pl-1480b.html;http://niko-opt.com/5515-large_default/plate-flamingo-pl-1480b.jpg,http://niko-opt.com/5516-large_default/plate-flamingo-pl-1480b.jpg;
PL-1480D;Платье "Flamingo" PL-1480D;Платья;Длина по спинке - 91 см;44,46;ментол;штапель;260;689;12.3;https://niko-opt.com/platya/1530-plate-flamingo-pl-1480d.html;http://niko-opt.com/5517-large_default/plate-flamingo-pl-1480d.jpg,http://niko-opt.com/5518-large_default/plate-flamingo-pl-1480d.jpg;
PL-1516A;Платье "Franci" PL-1516A;Платья;Длина по спинке - 122 смДлина рукава - 62 см;42,44,48;черный;французский трикотаж;256;680;12.13;https://niko-opt.com/platya/1657-plate-franci-pl-1516a.html;http://niko-opt.com/5829-large_default/plate-franci-pl-1516a.jpg,http://niko-opt.com/5830-large_default/plate-franci-pl-1516a.jpg;
PL-1516B;Платье "Franci" PL-1516B;Платья;Длина по спинке - 122 смДлина рукава - 62 см;42,44,46,48;электрик;французский трикотаж;256;680;12.13;https://niko-opt.com/platya/1659-plate-franci-pl-1516b.html;http://niko-opt.com/5833-large_default/plate-franci-pl-1516b.jpg,http://niko-opt.com/5834-large_default/plate-franci-pl-1516b.jpg;
PL-1516C;Платье "Franci" PL-1516C;Платья;Длина по спинке - 122 смДлина рукава - 62 см;42,44,46,48;бежевый;французский трикотаж;256;680;12.13;https://niko-opt.com/platya/1660-plate-franci-pl-1516c.html;http://niko-opt.com/5835-large_default/plate-franci-pl-1516c.jpg,http://niko-opt.com/5836-large_default/plate-franci-pl-1516c.jpg;
PL-1516D;Платье "Franci" PL-1516D;Платья;Длина по спинке - 122 смДлина рукава - 62 см;42,44,46,48;персик;французский трикотаж;256;680;12.13;https://niko-opt.com/platya/1658-plate-franci-pl-1516d.html;http://niko-opt.com/5831-large_default/plate-franci-pl-1516d.jpg,http://niko-opt.com/5832-large_default/plate-franci-pl-1516d.jpg;
PL-1516E;Платье "Franci" PL-1516E;Платья;Длина по спинке - 122 смДлина рукава - 62 см;42,44,46,48;горчичный;французский трикотаж;256;680;12.13;https://niko-opt.com/platya/1661-plate-franci-pl-1516e.html;http://niko-opt.com/5837-large_default/plate-franci-pl-1516e.jpg,http://niko-opt.com/5838-large_default/plate-franci-pl-1516e.jpg;
PL-1537A;Платье "Frida" PL-1537A;Платья;Длина платья - 87 см;42,44,46;черный;бенгалин;249;663;11.83;https://niko-opt.com/platya/1689-plate-frida-pl-1537a.html;http://niko-opt.com/5898-large_default/plate-frida-pl-1537a.jpg,http://niko-opt.com/5899-large_default/plate-frida-pl-1537a.jpg;
PL-1415A;Платье "Iren" PL-1415A;Платья;Красивое в своей простоте платье "Iren" предназначено для носки как зимой, так и летом. Модель выполнена из плотной трикотажной ткани черного цвета, отлично пропускает воздух, не позволяя создать для тела парниковый эффект, при этом греет тело. Горловина выполнена хомутом, рукав у платья длинный, длина самого платья — до колена. Свободный крой позволит девушкам скрыть существующие недостатки фигуры, для тех же, у кого нет изъянов, эта модель отлично будет сочетаться с ярким поясом на талии в качестве акцента.Длина изделия:по спинке: 98 см, рукава: 61 см;42;черный;;255;677;12.09;https://niko-opt.com/platya/1180-plate-iren-pl-1415a.html;http://niko-opt.com/4692-large_default/plate-iren-pl-1415a.jpg,http://niko-opt.com/4693-large_default/plate-iren-pl-1415a.jpg;
PL-1415C;Платье "Iren" PL-1415C;Платья;Девушки хотят быть красивыми каждый день, вне зависимости от погоды и времени года. Платье "Iren" отлично подойдет в таком случае, ведь оно удобное, практичное и подойдет для любой погоды, будь то холодная зима или теплая весна. Модель имеет свободный крой, выполнена из трикотажного материала цвета графит. Ткань приятная на ощупь, плотная, не садится после стирки и не линяет, а главное, не образует заломов, поэтому многочасовые пытки с утюгом закончатся, если вы приобретете платье "Iren"!Длина изделия:по спинке: 98 см, рукава: 61 см;44;графит;;255;677;12.09;https://niko-opt.com/platya/1182-plate-iren-pl-1415c.html;http://niko-opt.com/4696-large_default/plate-iren-pl-1415c.jpg,http://niko-opt.com/4697-large_default/plate-iren-pl-1415c.jpg;
PL-1527B;Платье "Janine" PL-1527B;Платья;Длина по спинке - 88 смДлина рукава - 46 см;42,44,46,48;черный;трикотаж "кукуруза";199;544;9.65;https://niko-opt.com/platya/1674-plate-janine-pl-1527b.html;http://niko-opt.com/5863-large_default/plate-janine-pl-1527b.jpg,http://niko-opt.com/5864-large_default/plate-janine-pl-1527b.jpg;
PL-1527E;Платье "Janine" PL-1527E;Платья;Длина по спинке - 88 смДлина рукава - 46 см;42;марсала;трикотаж "кукуруза";199;544;9.65;https://niko-opt.com/platya/1677-plate-janine-pl-1527e.html;http://niko-opt.com/5869-large_default/plate-janine-pl-1527e.jpg,http://niko-opt.com/5870-large_default/plate-janine-pl-1527e.jpg;
PL-1527F;Платье "Janine" PL-1527F;Платья;Длина по спинке - 88 смДлина рукава - 46 см;42,44,46;электрик;трикотаж "кукуруза";199;544;9.65;https://niko-opt.com/platya/1678-plate-janine-pl-1527f.html;http://niko-opt.com/5871-large_default/plate-janine-pl-1527f.jpg,http://niko-opt.com/5872-large_default/plate-janine-pl-1527f.jpg;
PL-1427A;Платье "Jessica" PL-1427A;Платья;Элегантное платье "Jessica" модного в каждом сезоне цвета марсала подчеркнет силуэт вашей фигуры. Модель из французского трикотажа, рукава и плечи черного цвета, верх выполнен в виде болеро. Длина платья до колена, позволяет продемонстрировать стройные ножки. Ухаживать за платьем из такой ткани легко, можно стирать его как руками, так и в машинке, используя обычный температурный режим, оно не сядет, не растянется, а главное — не потеряет свой первоначальный цвет!Длина по спинке - 90 смДлина рукава - 60 см;42,44;марсала;французский трикотаж;228;613;10.91;https://niko-opt.com/platya/1266-plate-jessica-pl-1427a.html;http://niko-opt.com/4879-large_default/plate-jessica-pl-1427a.jpg,http://niko-opt.com/4880-large_default/plate-jessica-pl-1427a.jpg;
PL-1427B;Платье "Jessica" PL-1427B;Платья;Красивое и интересное платье "Jessica" подчеркнет силуэт бедер и вашу тонкую, красивую талию. Верх платья выполнен в качестве болеро, плечи и рукава черного цвета, и само платье из французского трикотажа в мелкую зеленую клетку. Такая модель отлично подойдет для повседневной носки, а также платье можно надеть для выхода в свет, отпраздновать в нем корпоратив или день рождения, сходить в ресторан. Ткань не дает усадки, не образовывает катышек, а яркость цвета сохраняется на весь период носки.Длина по спинке - 90 смДлина рукава - 60 см;42,44;темно-зеленый;французский трикотаж;228;613;10.91;https://niko-opt.com/platya/1267-plate-jessica-pl-1427b.html;http://niko-opt.com/4881-large_default/plate-jessica-pl-1427b.jpg,http://niko-opt.com/4882-large_default/plate-jessica-pl-1427b.jpg;
PL-1427C;Платье "Jessica" PL-1427C;Платья;Каждый сезон имеет свой актуальный и модный цвет в одежде, в этом году горчичный стал именно таким цветом! Платье "Jessica", выполненное из французского трикотажа, стало хитом продаж, ведь оно отлично садится по фигуре, подчеркивая ее достоинства. Рукава и плечи выполнены из ткани черного цвета, и имеют вид болеро. Отличное подойдет такое платье для работы, праздника, похода в ресторан. Вы будете выглядеть сногсшибательно и покорите всех, надев платье "Jessica".Длина по спинке - 90 смДлина рукава - 60 см;42,44,46;горчичный;французский трикотаж;228;613;10.91;https://niko-opt.com/platya/1268-plate-jessica-pl-1427c.html;http://niko-opt.com/4883-large_default/plate-jessica-pl-1427c.jpg,http://niko-opt.com/4884-large_default/plate-jessica-pl-1427c.jpg;
PL-1427D;Платье "Jessica" PL-1427D;Платья;По праздникам девушки мечтаю выглядеть неотразимо, а что же делать в обычный будний день? На работу хочется тоже надеть красивое платье, но главное требование для такой модели — практичность и удобство. Мы предлагаем вам платье "Jessica", которое отвечает всем эти требованиям. Рукава и плечи выполнены из трикотажа черного цвета и имеют вид болеро, само платье из французского трикотажа в мелкую серую клетку, идеально сочетается с верхом. Ткань не садится после стирки, не образовывает катышек и не линяет. Побалуйте себя обновкой!Длина по спинке - 90 смДлина рукава - 60 см;42,44,46;серый;французский трикотаж;228;613;10.91;https://niko-opt.com/platya/1269-plate-jessica-pl-1427d.html;http://niko-opt.com/4885-large_default/plate-jessica-pl-1427d.jpg,http://niko-opt.com/4886-large_default/plate-jessica-pl-1427d.jpg;
PL-1394A;Платье "Kamila" PL-1394A;Платья;Зимой хочется выглядеть стильно и модно, носить обворожительные платья? Платье "Kamila" персикового цвета идеально подойдет для любого случая, будь то обыденный рабочий день, или праздничная вечеринка! Рукав платья 34 позволяет чувствовать себя комфортно, а умеренная длина платья — демонстрировать симпатичные ножки. Ткань на ощупь приятная, при стирке не линяет и не образовывает катышек. Стиль и красота в одном платье "Kamila".Длина изделия:по спинке: 84 см, рукава: 41 см;42,44,46,48;персик;жаккард;300;784;14.04;https://niko-opt.com/platya/1170-plate-kamila-pl-1394a.html;http://niko-opt.com/4672-large_default/plate-kamila-pl-1394a.jpg,http://niko-opt.com/4673-large_default/plate-kamila-pl-1394a.jpg;
PL-1394B;Платье "Kamila" PL-1394B;Платья;Нежное платье "Kamila" салатового цвета отлично подойдет для повседневной носки. Модель выполнена из ткани жаккард, этот материал практичен в носке, плотный и приятный на ощупь. Рукав платье 34, длина до колена. А-силуэт платья позволит скрыть недостатки фигуры, если таковые существуют, и подчеркнуть красоту стройных ножек. Будь неотразима всегда в модном платье "Kamila".Длина изделия:по спинке: 84 см, рукава: 41 см;42,44,46,48;светло-салатовый;жаккард;300;784;14.04;https://niko-opt.com/platya/1171-plate-kamila-pl-1394b.html;http://niko-opt.com/4674-large_default/plate-kamila-pl-1394b.jpg,http://niko-opt.com/4675-large_default/plate-kamila-pl-1394b.jpg;
PL-1394C;Платье "Kamila" PL-1394C;Платья;Платье "Kamila" нежного сиреневого цвета украсит ваши будни своей торжественностью. Модель выполнена из ткани жаккард, она плотная и за ней довольно легко ухаживать. Достаточно машинной стирки, обычной сушки и глажки. После многочисленной стирки ткань не даст усядки и не вытянется, на ней не будет катышек, а цвет останется таким же ярким, как в день покупки. Порадуйте себя новинкой в вашем гардеробе!Длина изделия:по спинке: 84 см, рукава: 41 см;42,44,46,48;сиреневый;жаккард;300;784;14.04;https://niko-opt.com/platya/1172-plate-kamila-pl-1394c.html;http://niko-opt.com/4676-large_default/plate-kamila-pl-1394c.jpg,http://niko-opt.com/4677-large_default/plate-kamila-pl-1394c.jpg;
PL-1226A;Платье "Karina" PL-1226A;Платья;Изысканное платье "Karina" сильно подчеркивающего фигуру покроя. Передняя полочка выполнена из эко кожи, так же на ней представлены грудные вытачки. V-образный вырез горловины в виде разреза. Рукава и спинка из мягкого трикотажного материала - дайвинг.Длина платья: 86 смДлина рукава: 42 см ;42;черный;дайвинг, экокожа;243;649;11.57;https://niko-opt.com/platya/465-plate-karina-pl-1226a.html;http://niko-opt.com/1617-large_default/plate-karina-pl-1226a.jpg,http://niko-opt.com/1619-large_default/plate-karina-pl-1226a.jpg;
PL-1226B;Платье "Karina" PL-1226B;Платья;Элегантное платье "Karina" в стиле casual создаст вам эффектный, выразительный образ. Передняя полочка выполнена из эко кожи черного цвета, из которой так же представлены манжеты на рукавах длинной 3/4. Спинка из мягкого, нежного материала - серого дайвинга.Длина платья: 86 смДлина рукава: 42 см ;42,44;серый;дайвинг, флис, экокожа;243;649;11.57;https://niko-opt.com/platya/466-plate-karina-pl-1226b.html;http://niko-opt.com/1642-large_default/plate-karina-pl-1226b.jpg,http://niko-opt.com/1644-large_default/plate-karina-pl-1226b.jpg;
PL-1476A;Платье "Katryn" PL-1476A;Платья;Длина по спинке - 93 смДлина по переду - 83 см;42,44,46,48;красный;хлопок;230;618;11;https://niko-opt.com/platya/1541-plate-katryn-pl-1476a.html;http://niko-opt.com/5539-large_default/plate-katryn-pl-1476a.jpg,http://niko-opt.com/5540-large_default/plate-katryn-pl-1476a.jpg;
PL-1476B;Платье "Katryn" PL-1476B;Платья;Длина по спинке - 93 смДлина по переду - 83 см;42,44,46,48;электрик;хлопок;230;618;11;https://niko-opt.com/platya/1542-plate-katryn-pl-1476b.html;http://niko-opt.com/5541-large_default/plate-katryn-pl-1476b.jpg,http://niko-opt.com/5542-large_default/plate-katryn-pl-1476b.jpg;
PL-1550A;Платье "Lana" PL-1550A;Платья;Рост модели на фото - 170 см Длина по спинке - 90 см Длина рукава - 43 см;42,44,46,48;красный+молоко;костюмная ткань;282;741;13.26;https://niko-opt.com/platya/1812-plate-lana-pl-1550a.html;http://niko-opt.com/6356-large_default/plate-lana-pl-1550a.jpg,http://niko-opt.com/6357-large_default/plate-lana-pl-1550a.jpg,http://niko-opt.com/6358-large_default/plate-lana-pl-1550a.jpg;
PL-1550B;Платье "Lana" PL-1550B;Платья;Рост модели на фото - 170 см Длина по спинке - 90 см Длина рукава - 43 см;42,44,46,48;темно-оливковый+молоко;костюмная ткань;282;741;13.26;https://niko-opt.com/platya/1813-plate-lana-pl-1550b.html;http://niko-opt.com/6362-large_default/plate-lana-pl-1550b.jpg,http://niko-opt.com/6363-large_default/plate-lana-pl-1550b.jpg,http://niko-opt.com/6364-large_default/plate-lana-pl-1550b.jpg;
PL-1550C;Платье "Lana" PL-1550C;Платья;Рост модели на фото - 170 см Длина по спинке - 90 см Длина рукава - 43 см;42,44,46,48;горчица+молоко;костюмная ткань;282;741;13.26;https://niko-opt.com/platya/1814-plate-lana-pl-1550c.html;http://niko-opt.com/6368-large_default/plate-lana-pl-1550c.jpg,http://niko-opt.com/6369-large_default/plate-lana-pl-1550c.jpg,http://niko-opt.com/6370-large_default/plate-lana-pl-1550c.jpg;
PL-1559A;Платье "Leonora" PL-1559A;Платья;Рост модели - 170 см;44,46,48;снежинка черная;твид;304;794;14.22;https://niko-opt.com/platya/1762-plate-leonora-pl-1559a.html;http://niko-opt.com/6153-large_default/plate-leonora-pl-1559a.jpg,http://niko-opt.com/6154-large_default/plate-leonora-pl-1559a.jpg,http://niko-opt.com/6155-large_default/plate-leonora-pl-1559a.jpg;
PL-1559B;Платье "Leonora" PL-1559B;Платья;Рост модели - 170 см;42,44,46,48;снежинка серебро;твид;304;794;14.22;https://niko-opt.com/platya/1763-plate-leonora-pl-1559b.html;http://niko-opt.com/6162-large_default/plate-leonora-pl-1559b.jpg,http://niko-opt.com/6163-large_default/plate-leonora-pl-1559b.jpg,http://niko-opt.com/6164-large_default/plate-leonora-pl-1559b.jpg;
PL-1481A;Платье "Lime" PL-1481A;Платья;Длина по спинке - 87 смДлина рукава - 15 см;42;розовый;лен;296;775;13.87;https://niko-opt.com/platya/1544-plate-lime-pl-1481a.html;http://niko-opt.com/5545-large_default/plate-lime-pl-1481a.jpg,http://niko-opt.com/5546-large_default/plate-lime-pl-1481a.jpg;
PL-1491A;Платье "Linda" PL-1491A;Платья;Длина по спинке: 80 см;40,42,44,46;джинс;бенгалин;224;603;10.74;https://niko-opt.com/platya/1570-plate-linda-pl-1491a.html;http://niko-opt.com/5602-large_default/plate-linda-pl-1491a.jpg,http://niko-opt.com/5603-large_default/plate-linda-pl-1491a.jpg;
PL-1491B;Платье "Linda" PL-1491B;Платья;Длина по спинке: 80 см;40,42,44,46;красный;бенгалин;224;603;10.74;https://niko-opt.com/platya/1571-plate-linda-pl-1491b.html;http://niko-opt.com/5604-large_default/plate-linda-pl-1491b.jpg,http://niko-opt.com/5605-large_default/plate-linda-pl-1491b.jpg;
PL-1491C;Платье "Linda" PL-1491C;Платья;Длина по спинке: 80 см;40,44,46;ментол;бенгалин;224;603;10.74;https://niko-opt.com/platya/1572-plate-linda-pl-1491c.html;http://niko-opt.com/5606-large_default/plate-linda-pl-1491c.jpg,http://niko-opt.com/5607-large_default/plate-linda-pl-1491c.jpg;
PL-1491D;Платье "Linda" PL-1491D;Платья;Длина по спинке: 80 см;40,42,44,46;морская волна;бенгалин;224;603;10.74;https://niko-opt.com/platya/1573-plate-linda-pl-1491d.html;http://niko-opt.com/5608-large_default/plate-linda-pl-1491d.jpg,http://niko-opt.com/5609-large_default/plate-linda-pl-1491d.jpg;
PL-1446A;Платье "Lucy" PL-1446A;Платья;Длина по переду: 83 смДлина по спинке: 94 смДлина рукава: 63 см;42,44;синий;французский трикотаж;272;718;12.83;https://niko-opt.com/platya/1438-plate-lucy-pl-1446a.html;http://niko-opt.com/5305-large_default/plate-lucy-pl-1446a.jpg,http://niko-opt.com/5306-large_default/plate-lucy-pl-1446a.jpg;
PL-1446B;Платье "Lucy" PL-1446B;Платья;Длина по переду: 83 смДлина по спинке: 94 смДлина рукава: 63 см;42,44,46,48; марсала и бежевый;французский трикотаж;272;718;12.83;https://niko-opt.com/platya/1439-plate-lucy-pl-1446b.html;http://niko-opt.com/5307-large_default/plate-lucy-pl-1446b.jpg,http://niko-opt.com/5308-large_default/plate-lucy-pl-1446b.jpg;
PL-1521A;Платье "Lukia" PL-1521A;Платья;Длина по спинке: 92 смДлина рукава: 17 см;42,44,46,48;бежевый;французский трикотаж;266;703;12.57;https://niko-opt.com/platya/1623-plate-lukia-pl-1521a.html;http://niko-opt.com/5724-large_default/plate-lukia-pl-1521a.jpg,http://niko-opt.com/5725-large_default/plate-lukia-pl-1521a.jpg,http://niko-opt.com/5726-large_default/plate-lukia-pl-1521a.jpg;
PL-1521B;Платье "Lukia" PL-1521B;Платья;Длина по спинке: 92 смДлина рукава: 17 см;42,44,46,48;красный;французский трикотаж;266;703;12.57;https://niko-opt.com/platya/1624-plate-lukia-pl-1521b.html;http://niko-opt.com/5727-large_default/plate-lukia-pl-1521b.jpg,http://niko-opt.com/5728-large_default/plate-lukia-pl-1521b.jpg,http://niko-opt.com/5729-large_default/plate-lukia-pl-1521b.jpg;
PL-1521D;Платье "Lukia" PL-1521D;Платья;Рост модели - 170 смДлина по спинке - 92 смДлина рукава - 17 см;42,44,46,48;персик;французский трикотаж;266;703;12.57;https://niko-opt.com/platya/1720-plate-lukia-pl-1521d.html;http://niko-opt.com/5971-large_default/plate-lukia-pl-1521d.jpg,http://niko-opt.com/5970-large_default/plate-lukia-pl-1521d.jpg,http://niko-opt.com/5972-large_default/plate-lukia-pl-1521d.jpg;
PL-1425A;Платье "Margo" PL-1425A;Платья;Красивое и стильное платье "Margo" отлично подойдет для повседневной носки. Модель выполнена и французского трикотажа в мелкую клетку цвета марсала. Рукава из той же ткани черного цвета, манжеты — в клетку. Вырез горловины — круглый, длина рукава 3/4. За платьем легко ухаживать, его можно стирать в машинке при обычной температуре, гладить, цвет останется ярким и насыщенным и ткань не даст усадки. Практичная модель "Margo"отлично подойдет для осенних и зимних будней.Длина по спинке - 89 смДлина рукава - 45 см;42,44,46;марсала;;325;844;15.13;https://niko-opt.com/platya/1209-plate-margo-pl-1425a.html;http://niko-opt.com/4756-large_default/plate-margo-pl-1425a.jpg,http://niko-opt.com/4757-large_default/plate-margo-pl-1425a.jpg;
PL-1425B;Платье "Margo" PL-1425B;Платья;Темно-зеленая клетка, из которой выполнено стильное платье "Margo", способна скрыть недостатки фигуры, если они существуют, а сам силуэт платья подчеркнет достоинства вашей фигуры. Ткань — французский трикотаж, тянется, но не растягивается, а также не дает усадки. На ощупь ткань мягкая и нежная, за ней легко ухаживать, достаточно постирать платье в машинке при обычной температуре, и высушить его. Кроме того, ткань не образовывает сильных заломов, поэтому гладить изделие тоже очень легко.Длина по спинке - 89 смДлина рукава - 45 см;42,44,46;темно-зеленый;;325;844;15.13;https://niko-opt.com/platya/1210-plate-margo-pl-1425b.html;http://niko-opt.com/4758-large_default/plate-margo-pl-1425b.jpg,http://niko-opt.com/4759-large_default/plate-margo-pl-1425b.jpg;
